[20:31:29] [INFO] received Windows console close event; shutting log-core down
[20:36:42] [INFO] received Windows console close event; shutting log-core down
[20:44:24] [INFO] received Windows console close event; shutting log-core down
[20:50:13] [INFO] received Windows console close event; shutting log-core down
[20:51:50] [INFO] received Windows console close event; shutting log-core down
[20:59:25] [INFO] received Windows console close event; shutting log-core down
[21:07:58] [INFO] received Windows console close event; shutting log-core down
[21:12:55] [INFO] received Windows console close event; shutting log-core down
[21:24:37] [INFO] received Windows console close event; shutting log-core down
